Class,Precision,Recall,F1-Score
Discord,0.7157287157287158,0.8012924071082391,0.7560975609756098
GoToMeeting,0.8400837988826816,0.8806734992679356,0.8598999285203717
Instagram,0.8670618120237087,0.8707482993197279,0.8689011455239711
Line,0.755656108597285,0.6844262295081968,0.7182795698924731
Microsoft Teams,0.8212530712530712,0.8167379352474038,0.8189892802450229
Slack,0.7031578947368421,0.750561797752809,0.7260869565217392
Snapchat,0.6653846153846154,0.6245487364620939,0.6443202979515829
Tango,0.8117647058823529,0.6509433962264151,0.7225130890052356
TikTok,0.8118811881188119,0.7735849056603774,0.7922705314009661
